ID,Gmina,Województwo,Powiat,Typ gminy,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
4,Bolesławiec (gmina wiejska),dolnośląskie,bolesławiecki,wiejska,28849,288,14391,50,112,106,6,0,0,176,37,133,6,0,0,16,0,16,0,248,192,102,32,21,0,0,5,83,0,0,0,0,0,6,0,1,0,3,0,3,5,74,0,7,26,0,3,22,3,0,0,4,0,68,0,0,4,30
5,Bolesławiec (gmina miejska),dolnośląskie,bolesławiecki,miejska,2357,24,39084,1658,163,161,2,0,0,432,126,303,3,0,0,28,3,11,14,51,122,84,22,9,0,0,4,95,0,0,0,0,1,7,0,0,0,0,0,0,3,88,0,4,33,0,1,146,11,0,0,2,2,42,0,0,2,46
6,Gromadka,dolnośląskie,bolesławiecki,wiejska,26768,268,5345,20,57,55,1,1,0,52,19,28,5,0,0,10,0,5,5,3,25,59,20,0,0,2,0,44,0,1,0,1,0,4,0,0,0,0,0,0,0,39,0,1,4,0,2,0,0,0,0,0,7,26,0,0,0,19
7,Nowogrodziec,dolnośląskie,bolesławiecki,miejsko-wiejska,17629,176,15290,87,132,120,10,2,0,176,27,140,9,0,0,9,0,9,0,62,111,91,32,12,0,0,2,57,0,0,0,0,1,7,0,1,0,0,0,0,1,50,0,2,54,4,2,21,3,0,0,5,1,41,0,0,0,17
8,Osiecznica,dolnośląskie,bolesławiecki,wiejska,43704,438,7398,17,62,57,4,0,1,82,18,61,3,0,0,8,0,8,0,11,44,60,24,4,0,1,2,41,0,0,0,0,0,2,0,0,0,0,0,0,2,39,0,5,21,0,0,1,2,0,0,1,0,27,0,0,0,20
9,Warta Bolesławiecka,dolnośląskie,bolesławiecki,wiejska,11044,110,8665,78,73,67,4,2,0,61,10,49,2,0,0,6,0,6,0,11,44,53,17,8,1,0,2,38,0,1,0,0,0,7,0,1,0,0,0,0,2,30,0,1,11,0,0,0,2,0,0,0,2,21,0,0,0,15
11,Bielawa,dolnośląskie,dzierżoniowski,miejska,3621,36,30207,834,98,97,1,0,0,131,26,104,1,0,0,24,4,20,0,35,119,63,12,0,0,0,1,27,0,0,0,0,0,7,0,0,0,0,0,0,1,20,0,1,8,0,0,3,13,0,0,1,1,16,0,0,2,14
12,Dzierżoniów (gmina miejska),dolnośląskie,dzierżoniowski,miejska,2007,20,33653,1677,130,127,3,0,0,193,34,156,2,1,0,36,1,24,11,165,106,37,11,4,0,0,5,54,0,0,0,0,0,0,0,0,0,0,0,0,5,54,0,2,20,0,0,1,12,1,0,1,1,19,1,0,16,42
13,Dzierżoniów (gmina wiejska),dolnośląskie,dzierżoniowski,wiejska,14106,141,9185,65,56,54,2,0,0,85,9,72,4,0,0,9,1,8,0,15,55,48,19,3,1,0,1,25,0,0,0,0,0,1,0,0,0,0,0,0,1,24,0,1,25,1,0,3,0,0,0,4,1,23,0,0,2,9
14,Łagiewniki,dolnośląskie,dzierżoniowski,wiejska,12477,125,7458,60,45,42,3,0,0,66,5,58,3,0,0,6,1,5,0,4,43,41,17,5,1,0,3,43,0,0,0,0,0,1,0,0,0,0,0,0,3,42,0,0,7,0,0,3,5,1,0,1,2,27,0,0,4,16
