ID,Powiat,Województwo,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
203,aleksandrowski,kujawsko-pomorskie,47463,475,55337,117,198,186,11,1,0,372,43,320,8,1,0,43,1,38,4,148,225,128,55,13,1,0,13,108,0,1,0,1,0,3,0,0,0,1,0,1,13,103,0,7,99,0,2,3,4,0,0,12,6,101,0,0,8,41
1741,augustowski,podlaskie,165939,1659,58669,35,242,211,29,2,0,471,59,394,18,0,0,83,3,22,58,184,265,189,55,20,0,0,12,140,0,0,0,0,0,6,0,1,0,0,0,0,12,134,0,11,116,3,2,9,2,0,0,3,4,127,3,0,35,63
2342,bartoszycki,warmińsko-mazurskie,130749,1307,58435,45,263,242,21,0,0,413,99,309,5,0,0,32,1,16,15,103,241,205,105,21,1,0,11,125,0,0,0,0,0,1,0,0,0,0,0,0,11,124,0,9,58,0,2,9,9,0,0,4,1,112,0,1,16,62
2021,bedzinski,śląskie,36413,364,149316,410,906,886,20,0,0,1627,180,1408,37,2,0,205,5,125,75,363,1170,787,163,43,5,2,24,388,0,1,0,0,7,38,0,6,0,2,0,2,17,347,1,48,118,8,0,39,78,9,0,14,27,411,1,0,15,181
707,belchatowski,łódzkie,96760,968,113028,117,283,265,16,2,0,1186,76,1092,17,1,0,105,4,39,62,280,680,370,114,22,3,0,14,240,0,3,0,2,0,5,0,0,0,0,0,0,14,232,0,36,59,1,2,18,9,5,0,4,9,144,1,0,15,85
391,Biala Podlaska,lubelskie,4940,49,57545,1165,170,167,3,0,0,273,42,230,1,0,0,24,2,13,9,126,193,87,26,10,1,0,2,104,0,2,0,2,0,7,0,2,0,0,0,0,2,95,0,13,29,0,0,0,7,0,0,4,4,113,1,0,0,22
1114,bialobrzeski,mazowieckie,63910,639,33542,52,175,164,11,0,0,291,48,242,1,0,0,28,3,24,1,48,186,165,46,21,0,0,5,76,0,1,0,1,1,4,0,0,0,0,0,0,4,71,0,6,35,4,0,9,7,1,0,0,0,80,0,0,5,42
2742,bialogardzki,zachodniopomorskie,84546,845,48041,57,396,369,24,3,0,340,31,306,2,1,0,28,4,20,4,200,272,192,57,14,1,0,11,57,0,2,0,1,0,3,0,0,0,1,0,0,11,51,2,5,54,2,0,4,19,0,0,2,4,64,0,1,4,38
1749,bialostocki,podlaskie,297644,2975,147002,49,626,591,32,1,2,696,77,590,28,1,0,137,1,25,111,110,459,552,167,32,0,2,20,327,0,4,0,3,2,19,0,2,0,0,0,0,18,304,0,42,149,1,1,21,11,2,0,4,6,279,2,0,13,145
371,bialski,lubelskie,275426,2755,111922,41,378,341,34,1,2,580,54,520,6,0,0,18,3,9,6,82,322,327,164,60,3,0,19,182,0,3,0,2,7,11,0,1,0,2,0,1,12,166,0,9,109,2,8,2,8,1,0,9,14,240,4,1,6,58
